kind,etag,pageInfo/totalResults,pageInfo/resultsPerPage,items/0/kind,items/0/etag,items/0/id,items/0/statistics/viewCount,items/0/statistics/likeCount,items/0/statistics/dislikeCount,items/0/statistics/favoriteCount,items/0/statistics/commentCount
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/t4blnBT3WUF0k101V8GBvK_ln0o""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/eBqqT-tj_qRoYVmHTt7iwdZKIr8""",O-YoJOuLXG4,6029,180,5,0,5
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/DJufXcD9p-4AahQxclSSK6gEDBw""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/jx6QiTPjjPvzjM83i-ve7wSqFho""",MsLZbfypGqY,22104,118,4,0,8
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/jkXkhAAALs3hibA1iTVmIpVoVvY""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/V4_ZWCqG1H59AM1MqjQ_am0zLeE""",G0f5gTaZlWM,4256,58,6,0,1
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/rbIe2ZStQwzoGOuKolOgU-KZsr0""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/Z8wuHCogFiIFloqgjsvPpS69ZzI""",YfoYlxQuG-4,357,4,3,0,3
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/o9gsfDXmB8RAU8anZpkT9xTefdQ""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/XACCwhVUUALHVpk_cdJz65LKyTI""",f7XhrXUoD6U,754658,4284,868,0,829
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/NGgOhNuP7PeSotzlLV1NmTRrl7I""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/uUpwHc9C-zEu0z8XMCqL5hMmFTM""",ywbGBI--hFk,6403,95,1,0,3
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/MPvSqwloRyjHwn9IaFQkvAEe1UE""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/HNwPHaoCBDIfiybQQx82algb_SQ""",crfa8AfZGtI,2081,21,0,0,8
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/x4DijtkPcndD9xahtkyfw0wOl84""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/vmCAR32wGxIJEQp0pg8BSRl_Qj4""",xUasBLC_ICI,205996,3107,39,0,136
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/e1M64OCYEMz7kzRDTgIIAE46eeM""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/P8pfvC8dzdWC22MGLyZn-0Qt5vc""",_OUpsWCvE38,542692,1922,318,0,471
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/gnD_DWXG55IqEpp7t02zR92sSgQ""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/SH3GL-t0-jOiwF4Gx356n6uzmOg""",qNNGCn-MeF8,167745,461,123,0,733
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/ob8YWbQ_U0gHN-omTAMUdRTKoFE""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/H-gcOzPhKqwLokT-4iknVrTbZL0""",0zzMX28xOuE,6241,368,12,0,68
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/cmQfuRO64iZSTdNT7z72qObDh-8""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/i-F3CnMMv-YbvKmnN3LsniDYut0""",ZZubbojjB5Q,35774,179,13,0,20
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/SgvrcEiqAPq5cJVA8cijCL4mv18""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/zjnz7ic2Arz3JWrBh21r23c53E8""",Fk7ouiu5_68,2180,43,14,0,21
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/HDfvuuR2_tsjGVFsH9-hXvjqZkg""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/6f1KcVGdex-4PCHdjXHjMYL6OCw""",gwl2aFNsW30,50794,158,1,0,13
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/LnVusL16nJkt03drP-RjzGTvYmM""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/K2SGHcw0VWW-E1ck5dArtL23CD8""",yhMV2rTRIcc,57,0,0,0,0
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/kgMjDKfZyVagoovjKNknqFItlZY""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/auF8QDJ9NPRwGkBVLmnN0lc-Qhg""",zVVK6V6OJLs,1316,35,0,0,6
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/x55Vx5K3wuQlJIZulTl4Mqko-9g""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/L4BtPwv3CqO7KsvjZLyYcOtOOSM""",bz8lE01tlow,30146,146,6,0,1
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/86kZoAZ5grTFEuc9HsTI3O3ys-c""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/aB_1u5wodkcl-2KcZKWIhxc-wgY""",rqltoPPuJiM,28368,275,21,0,146
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/cApWEpmkCQluue14aQaCgtftK6U""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/zKscdxBf52_NZUK3_5GZk9ELtnw""",edD87WazW1A,28116,62,2,0,8
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/N7EVdZ6qa1wyB2bucnNvJxZSwgw""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/3pwQ7eIVjTLiXJUbGRPajcTK214""",9ZUudkpUCJc,33802,224,1,0,13
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/pyi3jwRoxEsMr9AtNtLbmWmm45o""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/M5xoKSJPttFNX0hCE_81-L6cacg""",w9Ktg6wfxpA,165,3,0,0,0
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/dss-sKRdPfLeekoxtPmTmv4BeTQ""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/xByG-vGPCpN0YQji55-IC3-N7J0""",QegiQDRp4pI,6338,36,1,0,13
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/DdHH7neiHmEOdCOxvIap31ibXl4""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/reSMei8L-cVHAARn-f10zPWfoqU""",cfzxjFzDT5U,5751,37,2,0,5
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/kIvow8xWxhp0kzbRIWlqWH3uKTM""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/D6CK5z9QeWvFC53u0Tm9OtnfnSE""",wfKSFY6nqKQ,6706,50,3,0,12
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/bOg_E__A7F7ELVXCt-1NKikl5d0""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/ib3Mx6gUGbyFsJMRm_3sFdeooKw""",krO1Ba-Mqr4,9821,18,3,0,0
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/ICBTUbk8mEL-qSpVeRsLTSwCM28""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/qH9FXYZK5e2DEqVBVEyjBt0C1Vo""",0KRZz8dc-4s,1743,11,0,0,2
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/OUj6Bdxe3hIdDHShVBDgnWqSv3Y""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/wiicqA7U8zvbBj0byyb39eXp1wA""",grGEcmftsLo,295,10,0,0,0
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/tlsoobj4PmzUQlZWaQ14fGkPMQk""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/Ic072rfrRTYxycJ3jjsq-e7nWjo""",QmF2_du0ysA,23889,419,26,0,171
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/_rt5EnofKUUiS-rl_IeGMylXJ5g""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/MTpTtqvEYJ4znIq0LX8iLRyibxo""",l7uSVTbvTxU,318175,6574,670,0,723
