kind,etag,pageInfo/totalResults,pageInfo/resultsPerPage,items/0/kind,items/0/etag,items/0/id,items/0/statistics/viewCount,items/0/statistics/likeCount,items/0/statistics/dislikeCount,items/0/statistics/favoriteCount,items/0/statistics/commentCount
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/qqXxvsBRGzGerEPTeR5mfzd3_sk""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/7RUZJd7Y7sJcjgzxsk1gRv6VKIU""",Ep9MFiWXR8M,1192869,7129,109,0,666
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/uZGZtYt81jUtzWrGjd7zLaSxTbI""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/ZLnuZoN7tF6APC_YxfMliOZN0XI""",V0zFXmMCYso,3946,47,1,0,3
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/m74BCPKBgQqdQdCJEe2fRI4744o""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/r6-PntOlYNru16AHKZkNjtio1PU""",pr1zQrXM_7s,190826,341,21,0,138
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/qG7q0iZvzdQmeymVXzEcB2nmPiY""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/oHp0dm5snwmKvL_hs_bVCEfcWXU""",05CJ2R88AZM,38167,46,11,0,40
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/HMCvJQXsjwPm6_ALyJTRDHBZ1qw""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/zhltV05qQEH1Viul_qVbIjNqDE8""",MnXFC6rXQco,2578,129,7,0,13
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/g1YNRGLh3u5JhK06CHeYTJKFRr4""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/q1dZdyWKSd6bREUmUhQ2ma216Tw""",Txa-XcrVpvQ,1851610,3272,530,0,431
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/adYO6IVvuMwuDXJtkqCGylV1OeI""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/DOyzf4oFzwYgTkr1Uk3WrDijVIA""",0JZey9GJQP0,145824,268,25,0,104
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/iIOydFD4nXObXzRdk6JdNqb4Bcg""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/1ZGk3LM5Z20YRZTuGNe8B49Ay1A""",99Voubl0Zc8,630,11,0,0,0
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/5lEd9_RPwZbtfuUHZfsmO1S0RpE""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/EnddQcywyTH1DAj9QYTcTZY25k4""",Q7Uxaw6YoRw,1964058,9151,406,0,1549
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/VUmfK7A18nE_A6MtXZa0Lc6S60M""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/7hD7DasSZDCjJLiFv7MH7VCN30Q""",fTlLDGWfAPs,87847,87,13,0,42
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/emBAmy6d6vKaLTH-COpB2udScN4""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/EhMxKJqYbrH-J64JhqbBJGvv1Tc""",BY7875_rv1s,337528,1250,2059,0,1230
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/csG6dvRNIt72uZd6n5nMVQ0Kp-8""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/GKtcfIqru4v6e7GEEfd-0SF3mfc""",w0y7xar2EPo,1200,80,2,0,10
