kind,etag,pageInfo/totalResults,pageInfo/resultsPerPage,items/0/kind,items/0/etag,items/0/id,items/0/statistics/viewCount,items/0/statistics/likeCount,items/0/statistics/dislikeCount,items/0/statistics/favoriteCount,items/0/statistics/commentCount
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/XHrAb4fhwup5Miy9kwLTG6IyiUA""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/y7j4W7i1BYGrKb9EATQsqgYCTGE""",ojfw41_hyJk,350696,1783,37,0,111
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/QmqWDqbon5dabWo-cTIqjR7vMP4""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/2YJ9zGLuy1s97q0rtyH0tHyTeJs""",cdVUEHXlrxU,38523,13,1,0,1
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/2G53U6LJo2fXdwj_KDSGYZOJa7Q""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/P0AeYAl0y-SREZv-OjawzoERDwo""",ieAbHJcrvpk,12761,38,0,0,4
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/KTFzyHtHL1u-Fa45dlAs1kXY5H0""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/iKVXhreil9QvWCEsO5e7W2dsvI0""",GQcEIp1RpXE,7191,46,5,0,2
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/vqUQn5sy54SAbZQOKNh1pV5I9MQ""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/Ir6Earj6dft0WpuhbRWSWtDpVak""",ZctnNxySXm8,1914,1,0,0,2
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/zyGE2XyqKcd2DwWSeDeUxogb838""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/f6fVLUCosb_8Q1osDiE2rYVkzS8""",9mgPEP8HAss,109058,128,12,0,37
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/svYk5Shaz9KLDXmemQyNDB_b4KI""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/q5x3RSCE5VBed6EGpu1ZqX6eCnE""",vBTtv1_gifg,2782,14,4,0,14
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/_NSDEQ_5KkJsLMwOIypKW-6AKO8""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/WrFwShLifM9UIwgvp2LSr9t85vo""",vciNLRCEbDs,847,9,2,0,2
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/hrwEkqTcNCaOBVZ0r6IlktmmRHY""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/Wrn5IHQh-Nk4r4RDNVGHV9kLzGE""",JlOBuv3OB5A,50632,295,26,0,30
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/fCZGD8nXrEczVaY2JivIKyG-yQ4""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/PIx-yBYFDVw-eoPmD52lbAF3spM""",rT5qr3ygI2k,25835,69,23,0,20
