kind,etag,pageInfo/totalResults,pageInfo/resultsPerPage,items/0/kind,items/0/etag,items/0/id,items/0/statistics/viewCount,items/0/statistics/likeCount,items/0/statistics/dislikeCount,items/0/statistics/favoriteCount,items/0/statistics/commentCount
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/cqSl5YcatKMkSeapZu4nJSUZzwI""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/M0UeNs1zSrTTjB3M2AnreDHVMtc""",f72GdlWsxR4,15905,128,20,0,101
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/lI_IquWnp6PmnSrYE8qF0yTc7ho""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/Fc8zHaB0Yn7EACqeCOFxpnh2ljo""",pxO3X_c3TGo,102578,2276,91,0,853
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/i2ju5LtT_ZDSf5aUcESz-DwnBHg""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/dY6t6pHPt5fmgCvK9jhhP4qre1E""",W9iH8vzu074,40715,1186,28,0,304
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/f7Q5l7bMfUQLq5cQ-p9db637oBs""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/xEojfO8X0mnleZ4bZVWSn5iqxTQ""",4--XNOy2EuQ,16254,61,122,0,198
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/I7lwfZEvslLfB838WmyoMpZxVrE""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/INy4z72flEfhMgwzr0oPM0OcjiU""",PdgEJ6sLL0Y,3230,28,2,0,1
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/uX9zT0r4LIIWurn3VQ0W69BxPaE""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/ux39z8cRLRAGUXIo1FcnWilld6U""",hpXaHQVcrVY,58666,478,71,0,257
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/BPboAMwUqzZEBUVZs0TrCWjHg0I""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/hqN6NvDvWHhmGB5yo7a_qMCrjz4""",bGqE2OlGvG4,26175,138,6,0,10
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/UqPUfRIrrnFEZx9CAN-6bOJ5o1U""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/vGU7eHblN782t-eD4nrhXjM5QtM""",gmdJUU4b9FI,24381660,30612,13465,0,2272
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/fmiK1NZZs_hnOQRBvx0YUEr4SrQ""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/EAt01yGmVa-VEzNrpnUJsg1Xouk""",ReE835-d8vk,23148,114,4,0,7
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/JgGaKREk19pQgampQWJOt9XHhMI""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/5lNTtMNbLC-f6EB68s3RY97-OsQ""",RTyAkKXuPkE,44441,2447,56,0,920
