kind,etag,pageInfo/totalResults,pageInfo/resultsPerPage,items/0/kind,items/0/etag,items/0/id,items/0/statistics/viewCount,items/0/statistics/likeCount,items/0/statistics/dislikeCount,items/0/statistics/favoriteCount,items/0/statistics/commentCount
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/DF1WQwZRhD7gGUURjgGIhCyx4GI""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/klJcyv59TYY8ofzCQtReo9nvKAg""",5m8aQuE__z0,15979,483,3,0,26
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/5zLG0s3UdAjq9aBitaHPeocixJk""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/0TXaCE_6asxHhl4XvFNsRD5lqGY""",FyodafRqb5o,19383,1558,4,0,158
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/-hibJB6tVTeEi9YJlxTJpxWAc0k""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/WGUYDi-wHZZgDsWNlHRwJ9hLDL4""",wfbi3CxE3Lw,7639491,1856,101,0,248
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/UxWPzcNEYIg-9XL__eDuHfp2rfg""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/iDwqLkS18l61NPVwRQMXwoDpV9c""",rpmaw2TG_qM,5418,771,3,0,45
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/61gwfbsLRdF9e-Ark204AvcCgGk""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/i_pSdu-wgL1ZEgQei1KbfN_0uzk""",WsUAmJjATqE,269,28,2,0,2
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/293b6mQ8m0qhgJ3ApN5u0IGP0Cg""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/4bf4JSt8O9gw77cMJFwMxr6Hez4""",f1dQgBd3F58,785,30,2,0,1
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/H360dERaqSDtX_RHD61HBQU4m5I""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/vxwvEmOTBbVwrO_VaEYmzRDsXJg""",FTR6Pp67t1k,127938,5653,157,0,382
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/V871sgEMQX95VCNySLm6-CyTjUU""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/0jmuFUgksHiu7e-hGqaIe-ExYoE""",YGcbPEbEVOc,432,30,3,0,0
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/2rLrJpXKpwtL8IfBg9ySSA-nRCY""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/wmUawujeiz_WpZA7Octou0qemT0""",E1xkXZs0cAQ,94130,742,24,0,46
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/GTlyURi8G3fnbUSKlxZnVqe7mpQ""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/1EBTR_cy8_rjHe82K2UxwjT7WQI""",a2O80Wi7oqo,3343,80,2,0,3
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/i6zqIVBOqSmCMP9tUrPE5Muf-GU""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/p-CAsUcwNhkQoSyVr6KDlDn430Q""",y_YW5ADFH44,620,25,0,0,4
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/sRN5qIveE28tLuyAwuM_tCET1c0""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/RKhwLJMRrvv6I-KiNGdzzpP-NGU""",nqraqwnW_H0,9267,74,4,0,3
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/C-CHIRwlpkrJNzzDigS2UVuNVVA""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/MoOqA-7AKeIst50w4FcqK1cIcdI""",Zauz_Tt2_vY,69,5,0,0,0
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/nJF4IzYtUHQSzlhkZeZHXg-OOuQ""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/Dm1vUJOBQaShnFPLLq7SeNWVLsc""",KNhgvlBYNoo,191,7,0,0,0
