kind,etag,pageInfo/totalResults,pageInfo/resultsPerPage,items/0/kind,items/0/etag,items/0/id,items/0/statistics/viewCount,items/0/statistics/likeCount,items/0/statistics/dislikeCount,items/0/statistics/favoriteCount,items/0/statistics/commentCount
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/1v4H5o21QPbv1mupolZJGQ0-FYk""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/EPxrClKDpsD3P2NMvXQwC2wR3vA""",5p3wyQ6BCBw,12909,28,5,0,1
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/MC-9kiASaLJytSQge5O7mcjwe_M""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/XYNI_ykMyztkt5pgEv_0gwJKPv8""",tDxOTD6dYmA,43877,77,7,0,11
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/wZiwimdffqbArAtVZeMDnmnR8Mk""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/BVdyz23wCsbuoOcXEMt1cfuFehA""",mc_FZ5CHlIE,738,0,0,0,0
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/DcmycHElMpvHkI-86wG9Qi5aEVM""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/MSczp-zKFiWffc0N_wY2NFnsRXI""",RD3BMzCDhIo,140743,736,65,0,26
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/SGUEIauZt3MYluh78KCuNe-twqc""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/GojpzoFMEw5fnXRdNyYv_UqAGtc""",f5WF7zLW8k8,139038,713,67,0,33
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/EnRrkTeTq47uj7FmgABeVNrhiG4""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/K7Z9zwb9mq57T4ca9OwfkH3FW_M""",rxL1s6q-MkM,647198,2653,185,0,116
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/1cNhNZChYPpRNrAlZyEz1s9nZzI""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/zd1LEa2wNfTd_hGr_y455Js0G_A""",6SE1JrQS3so,160253,908,73,0,17
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/HVNaX2Moi8cYCMzdNjD3KV5syec""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/QLWUqx8EZrHZnLNR9IReSsY5PZw""",HivT54OPyx0,347373,1128,80,0,46
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/7S2JkOo1q1bnjDRAibp2s8kqe-Y""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/Rl3_PMfpsIQgfhPrcrr1YMS7ziU""",EUDaUo8L5UI,33135,132,12,0,1
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/qUT4peKCKdQLimMUXgFtmTqwJ0o""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/gWeQZKNkQUNwTYIODNCkuY3V3s4""",PqZ4nil0Nd8,199688,838,120,0,21
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/y5fkPLnp0vxcCkmYO1ZRoS64wlI""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/-2ubJEb_hMd0tKvKvv8DKXrko2U""",9qspCR2K1ts,171820,835,73,0,33
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/32WmbcmdrFs5lthP2_ml59aCprk""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/qVuMUrANnBq8_7L9l826wqgqhOQ""",HmEzqtVfKb8,867,10,1,0,1
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/DnuLD_pca_C9gsC5eJXZ8rryVnI""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/9tjOuOgA_ZHZIPdBCNyNHwct8_M""",hgqQLTXRSXE,23509,727,30,0,121
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/J-EZZlPKqXUf6xdJiqAr04i09II""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/9Duc4vt2gR7Wr3w0HKZoErS60Sk""",HTeUeUWyYs8,565384,1164,120,0,60
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/XigUqa441uQKHFEVzkIOZxxdu6g""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/yFn-hCuj2zkAsHM0uAgcFuCo900""",kXqSKtSKwsE,276,1,0,0,0
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/2uainybRgLYGWC3yJ6s1EEuB2uU""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/GCaWwPi4LzbddVNyZtyC1Co1kWA""",b0h0V8lunAY,131464,797,58,0,18
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/amQEDYeHCTiTbBBfrowbdlWBbUk""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/eEeCSwuGctQiVB4BdghRsuhh_Is""",MoKbY1FfICk,25769,251,3,0,4
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/IWR1eAjbUFDo4kZIkIx2dPVxZZE""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/1gOgpuvaYx4-JqQ8-ExT8BmkkqQ""",mvTu1kDUKrE,180096,672,72,0,30
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/PbQPITJt1VbvlIHIh8KsGaPU1cs""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/-eDU52v-ZC3fGhx9JWHoQbiWWMY""",I56acG16bSo,308173,1207,82,0,30
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/HsdQmdtnP_3fwyKHZbudP2mJ_Hg""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/eHkrWSxcIKSEUHGe-scOEHRxCKU""",iaOoxhI5iEE,18013,78,5,0,2
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/y3zPQU62qC32RD0Wrn-YDwQwCwI""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/JYaEmXyznsGJ1jisY2ly5blfjII""",4bWv9MM-s4I,367,0,0,0,0
