kind,etag,pageInfo/totalResults,pageInfo/resultsPerPage,items/0/kind,items/0/etag,items/0/id,items/0/statistics/viewCount,items/0/statistics/likeCount,items/0/statistics/dislikeCount,items/0/statistics/favoriteCount,items/0/statistics/commentCount
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/rbc6qN8VLXWThvT4ZMysbVPwiyE""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/jXmiGlS3X9i9eh5pCV7R5QwSH1g""",g7m3S6re2Jc,72965,2716,224,0,650
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/FJMBq1Zd8MNHJdx9E7cLYCFAFDg""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/LRT1XAmSRFBegbm8HhsxvLakWus""",9J7XEKljexU,35111,332,37,0,544
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/rzZbFmSe-GB7XKy_mrX6gJyyPhk""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/r36nMds8jpCopTydNURzrQl3ELE""",PQ9vdJ6hi84,4319,101,2,0,41
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/JYHkOt4jXgeDpAMP4_io-bqJUTM""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/bxc_24AY_yytalEhuSsiUz2AZtE""",B3ZjeplqCIM,1532803,36883,452,0,2513
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/me_ghBJgjT7BprUlmV32Mr_QM8w""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/TTfhEGtQ9qJU0-gZGjoifNU4vJE""",xK-DTssN8wM,30936,1596,36,0,935
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/LHyIEqpZ8tESAHtTlW7QYEeDjTk""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/OUCPGKvFpFcb2s_9IXR1Hn4zW5M""",yRPxkzKkBuw,8085,17,0,0,1
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/-1Fwbf4BnV6yJzUEnf7ToRgJIwM""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/G3s5epKNsDU0NFtV0DuVPireYTo""",l3MZV69piEE,6134,21,1,0,6
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/EiEWY8VkPekILQ-0n29TccK137M""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/Ru2ydHSrDplHFdhQp2f8bGIeuHQ""",RLBLi7ILg1c,1287,5,0,0,8
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/_xnEfMCXvJqisWfoaXbe989ox_w""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/jQ6GFptDtfVNpinKt0zmGQfheQI""",Vvbx2RPsMYM,4318,123,1,0,46
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/RnyGXGupf8bCl8vnpw6taUKZ1nE""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/-VEFP5ksAX5EUW0VT66ABfIkPeM""",p3SSqaYhV9g,26624,192,14,0,73
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/p5jyrzaQQn2SchyRT0uWJDAvIW8""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/ePyxM4UTRSiqyXi_huQOSgJPZ6k""",pjN-vGAt0pw,107077,2908,77,0,1144
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/Fd9a34KSRWStu2aNSb_FVIrfCgw""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/XzeNbawSjbE7XyUIrcb5df-LyIg""",7pB8rR4UJzM,117459,402,78,0,1663
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/Gni5MDniNlY45p_-t9wFchdePV4""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/sdKRhs0eNnVP0l2jmRdtjU_DIh4""",mHcvk88Az60,17337,72,4,0,50
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/-_0FHZaz5_-7gb-5RnuDsnYKIwQ""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/FAVF62dFkQUWHGhryUNUi32DaOI""",VwbL98JYuN0,200382,5119,75,0,355
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/qnt6ALsPi4pDn7av1nGplWNCVbI""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/BTfYjWdHSUVSee0w7AmSnnDM6Wg""",0DhJ9WYSqaU,3419941,6985,411,0,668
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/yLWhhEfyFWW6a2QlFpY4IPQ6aqg""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/kq0yPb9hvzRDyZuHNmnL9zQ8zJo""",lhqMtl4YV8U,4092,24,3,0,16
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/-0KgCybYNc9Tr5ROH_NsANbdgJA""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/G5WfCssPKhdvEswJ9gdKGf966SY""",TX2oQYTK6n4,68513,1759,58,0,704
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/RnBNGyKrRNgbgQ3Yhhpd9k-MwN8""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/ydjS0LS2gjqchaV3L2SFoOl5oIQ""",jFjtxZQjuZ8,1938,109,9,0,12
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/eMnCUgoHVvkFG5O9Tjzp8jzXJys""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/TnV8nt8DJrtouqj3oA8cASi97A0""",WaNrSbQl3Po,9171,4,0,0,7
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/hH8lr8Bl1LCB5fbtrA3APy5MHzw""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/MD8ni2XKX7cLfunWCT01hRMrO28""",g8vLRv0P4kw,24,0,0,0,0
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/QqHuZJtQSlpZwynhFj3malwWsMc""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/AA2jSbiLSo2hoSWZCaw4S8ylxEU""",_Uyr0Zph2UQ,2306,5,4,0,16
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/OrboaHxHQ6tXU8CE5d4kxawrN2g""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/zKKe4EXGHPZ0ViwgYzje5T-oK9E""",Wf0r_vhmPeI,450,5,0,0,1
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/ZX7Whi49691JO7TOWuGHpkEaggE""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/fXNt-Hihjz4VwMlcZzwveAs0TOs""",B-dBFJ7Mymc,22222,226,22,0,281
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/wYbTkNNKkpUS1m3nm2nPVx6PfS4""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/jtaQKGamv4iLEu_YJtSc6SWikeo""",lMbnV3_MCsg,62271,63,0,0,11
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/zqBR6A889Ixmsju_p1lnl1cL0pg""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/k4-hKzLZt5E1bBnZhWnd7gks9WY""",TdnHFtyHq4o,677,23,4,0,35
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/mKlOrOU4QNm35gt-cL9V4ytioAo""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/bZvUUTA4HibkM_g8tTr_kB2ro_g""",LMrfVqJLY9M,46449,3157,154,0,990
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/pqyJphq4ruxvqeUl_IqoNe45stY""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/DwtD-3HA3tac_wlbtuwrQy1Tvxk""",7d1F30LzI5A,17380,961,11,0,209
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/AIKIAFt9E-Q_PfjJexuH84m30o0""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/XA6NO-7BL-kEQaMJXG398d15IbE""",qZQlaZvzf78,54018,140,11,0,
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/2qdM8xB9HNG90uBPmJf43rUT0V4""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/Xxm3M_85MgM_iPJq2Ap64zaicCw""",f_v0hAKxu5w,3143,11,2,0,5
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/zw_CJGtcbxHhZf3O0s7tvm1nPQw""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/ItDiMrV0MdZz9zPAULC2j5S0L5g""",hKxopid5Ubc,44502,2408,130,0,756
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/QwYNzjNadkqZAvmnRkWcUeHquBc""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/xWSO6F0QD4t-AuXiz65H7NHWlYE""",MT4ezMtC3qo,15549,158,17,0,163
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/Dg4VXst-b4UlodfGc5eBsn8UV9c""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/BNROA9Vda39os743xqsdasly-N8""",FNYpnNfQ8_4,153,2,0,0,1
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/taPKdqVUTjYuYSDmKCCG_zUhqwM""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/LDUVSBl50wfnXqhsHDuvtifHVU0""",ih04R1H_NKk,389,11,0,0,1
