kind,etag,pageInfo/totalResults,pageInfo/resultsPerPage,items/0/kind,items/0/etag,items/0/id,items/0/statistics/viewCount,items/0/statistics/likeCount,items/0/statistics/dislikeCount,items/0/statistics/favoriteCount,items/0/statistics/commentCount
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/DvI1kKRvhUu_QKzYroYKDnnydWI""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/Xj_C8r1mO_vCNYOdVRaATR4wlAk""",EUvnWOlJrhw,16864,153,2,0,16
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/t9wqx24wO6WgvovAPfgs8mcE6F8""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/tWrwVkn1y8P8WIiScEVOIiKCszo""",RBQ-IoHfimQ,58625695,392399,15392,0,29214
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/r87mbYGaFY02cdkQPulHZfslkn4""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/TQqfMjbAJNbXoB-3KHeCGKKrNTM""",reKynWXzSQ0,45763,370,27,0,38
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/JWx4cojUSKHjVtUtJ65ZvPQd2sA""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/BHf-Q2Mt98-hiQsL2-3IoU3RqEQ""",8IF1gowJXZY,1350,21,1,0,2
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/T4bltMfc_IASJZI3yeRmSC4OnjM""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/m_zFd7aPBWzeCzJ6fhGJ_LBDFs8""",OA0wvsJ_68A,505,6,2,0,1
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/nLJM6ulSCsAVPDqNlmRJwGJDuws""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/YRZNUNmh1YS9_Re_DP4KrkilUfU""",ObOj8Y1oMNY,18273,244,7,0,28
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/YpTW-3Fm9FwLHSQLlUNk00Sd8zs""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/kOLjt090ZTp1x-seCRMTopgpX1I""",61l9wZyhC-U,5610,58,1,0,1
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/rR6G4_tCW8Mpwzke-TvExpf3fiY""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/0R54fN1ylSOAWISkw_ZrLEiiEyY""",t8-7JDRr9wo,64692,605,14,0,46
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/8-Lg2eLttzmeFcQpfryAjEFyMcI""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/ljmrcDq4KUZuKeJ6LzPUo-WKy_Q""",MROKXMw_-oU,40389,141,17,0,21
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/QBct1HJ_iNAWWIFoy3Xi1jPo4To""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/Hia1LiJG-U9iEiYUHyZIejR0sDg""",sslTmbHSJsI,194770,344,56,0,112
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/It_n_XesAy6PuGTrrt6Y1meu7V0""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/Mf0WTwCCWqhaFjoNJ0WfpXPGKPI""",jEJ7dPiwZhU,27718,152,15,0,7
youtube#videoListResponse,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/5r4yVibbPcPGZp1zKnijdkfbAqE""",1,1,youtube#video,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/QkN6Iz98pkqOLXurP8eet7I5HqQ""",c0xW2xUq8kM,80783,309,10,0,21
